model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,176,decode,3,decoder.layers.3.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,175;174,,,config+architecture,
models--Systran--faster-whisper-base,177,decode,3,decoder.layers.3.self_attn.out_proj,linear,,B,512,512,176,decoder.layers.3.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,178,decode,3,decoder.layers.3.encoder_attn.q_proj,linear,,B,512,512,177,decoder.layers.3.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,179,decode,3,decoder.layers.3.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,178,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,180,decode,3,decoder.layers.3.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,179,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,181,decode,3,decoder.layers.3.encoder_attn.out_proj,linear,,B,512,512,180,decoder.layers.3.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,182,decode,3,decoder.layers.3.fc1,linear,,B,2048,512,181,decoder.layers.3.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,183,decode,3,decoder.layers.3.fc2,linear,,B,512,2048,182,decoder.layers.3.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,184,decode,4,decoder.layers.4.self_attn.q_proj,linear,,B,512,512,183,decoder.layers.4.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,185,decode,4,decoder.layers.4.self_attn.k_proj,linear,,B,512,512,183,decoder.layers.4.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,186,decode,4,decoder.layers.4.self_attn.v_proj,linear,,B,512,512,183,decoder.layers.4.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,187,decode,4,decoder.layers.4.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,184;185,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,188,decode,4,decoder.layers.4.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,187;186,,,config+architecture,
models--Systran--faster-whisper-base,189,decode,4,decoder.layers.4.self_attn.out_proj,linear,,B,512,512,188,decoder.layers.4.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,190,decode,4,decoder.layers.4.encoder_attn.q_proj,linear,,B,512,512,189,decoder.layers.4.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,191,decode,4,decoder.layers.4.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,190,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,192,decode,4,decoder.layers.4.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,191,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,193,decode,4,decoder.layers.4.encoder_attn.out_proj,linear,,B,512,512,192,decoder.layers.4.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,194,decode,4,decoder.layers.4.fc1,linear,,B,2048,512,193,decoder.layers.4.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,195,decode,4,decoder.layers.4.fc2,linear,,B,512,2048,194,decoder.layers.4.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,196,decode,5,decoder.layers.5.self_attn.q_proj,linear,,B,512,512,195,decoder.layers.5.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,197,decode,5,decoder.layers.5.self_attn.k_proj,linear,,B,512,512,195,decoder.layers.5.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,198,decode,5,decoder.layers.5.self_attn.v_proj,linear,,B,512,512,195,decoder.layers.5.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,199,decode,5,decoder.layers.5.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,196;197,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,200,decode,5,decoder.layers.5.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,199;198,,,config+architecture,
models--Systran--faster-whisper-base,201,decode,5,decoder.layers.5.self_attn.out_proj,linear,,B,512,512,200,decoder.layers.5.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,202,decode,5,decoder.layers.5.encoder_attn.q_proj,linear,,B,512,512,201,decoder.layers.5.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,203,decode,5,decoder.layers.5.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,202,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,204,decode,5,decoder.layers.5.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,203,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,205,decode,5,decoder.layers.5.encoder_attn.out_proj,linear,,B,512,512,204,decoder.layers.5.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,206,decode,5,decoder.layers.5.fc1,linear,,B,2048,512,205,decoder.layers.5.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,207,decode,5,decoder.layers.5.fc2,linear,,B,512,2048,206,decoder.layers.5.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,208,decode,output,proj_out,linear,,B,51865,512,207,proj_out.weight/tied decoder embed_tokens,"[51865,512]",config+architecture,
