model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,61,decoder_prefill,0,decoder.layers.0.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,60;59,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,62,decoder_prefill,0,decoder.layers.0.encoder_attn.out_proj,linear,,B*T_dec,512,512,61,decoder.layers.0.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,63,decoder_prefill,0,decoder.layers.0.fc1,linear,,B*T_dec,2048,512,62,decoder.layers.0.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,64,decoder_prefill,0,decoder.layers.0.fc2,linear,,B*T_dec,512,2048,63,decoder.layers.0.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,65,decoder_prefill,1,decoder.layers.1.self_attn.q_proj,linear,,B*T_dec,512,512,64,decoder.layers.1.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,66,decoder_prefill,1,decoder.layers.1.self_attn.k_proj,linear,,B*T_dec,512,512,64,decoder.layers.1.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,67,decoder_prefill,1,decoder.layers.1.self_attn.v_proj,linear,,B*T_dec,512,512,64,decoder.layers.1.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,68,decoder_prefill,1,decoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,65;66,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,69,decoder_prefill,1,decoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,68;67,,,config+architecture,
models--Systran--faster-whisper-base,70,decoder_prefill,1,decoder.layers.1.self_attn.out_proj,linear,,B*T_dec,512,512,69,decoder.layers.1.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,71,decoder_prefill,1,decoder.layers.1.encoder_attn.q_proj,linear,,B*T_dec,512,512,70,decoder.layers.1.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,72,decoder_prefill,1,decoder.layers.1.encoder_attn.k_proj,linear,,B*T_enc,512,512,50,decoder.layers.1.encoder_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,73,decoder_prefill,1,decoder.layers.1.encoder_attn.v_proj,linear,,B*T_enc,512,512,50,decoder.layers.1.encoder_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,74,decoder_prefill,1,decoder.layers.1.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,71;72,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,75,decoder_prefill,1,decoder.layers.1.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,74;73,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,76,decoder_prefill,1,decoder.layers.1.encoder_attn.out_proj,linear,,B*T_dec,512,512,75,decoder.layers.1.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,77,decoder_prefill,1,decoder.layers.1.fc1,linear,,B*T_dec,2048,512,76,decoder.layers.1.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,78,decoder_prefill,1,decoder.layers.1.fc2,linear,,B*T_dec,512,2048,77,decoder.layers.1.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,79,decoder_prefill,2,decoder.layers.2.self_attn.q_proj,linear,,B*T_dec,512,512,78,decoder.layers.2.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,80,decoder_prefill,2,decoder.layers.2.self_attn.k_proj,linear,,B*T_dec,512,512,78,decoder.layers.2.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,81,decoder_prefill,2,decoder.layers.2.self_attn.v_proj,linear,,B*T_dec,512,512,78,decoder.layers.2.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,82,decoder_prefill,2,decoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,79;80,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,83,decoder_prefill,2,decoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,82;81,,,config+architecture,
models--Systran--faster-whisper-base,84,decoder_prefill,2,decoder.layers.2.self_attn.out_proj,linear,,B*T_dec,512,512,83,decoder.layers.2.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,85,decoder_prefill,2,decoder.layers.2.encoder_attn.q_proj,linear,,B*T_dec,512,512,84,decoder.layers.2.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,86,decoder_prefill,2,decoder.layers.2.encoder_attn.k_proj,linear,,B*T_enc,512,512,50,decoder.layers.2.encoder_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,87,decoder_prefill,2,decoder.layers.2.encoder_attn.v_proj,linear,,B*T_enc,512,512,50,decoder.layers.2.encoder_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,88,decoder_prefill,2,decoder.layers.2.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,85;86,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,89,decoder_prefill,2,decoder.layers.2.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,88;87,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,90,decoder_prefill,2,decoder.layers.2.encoder_attn.out_proj,linear,,B*T_dec,512,512,89,decoder.layers.2.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,91,decoder_prefill,2,decoder.layers.2.fc1,linear,,B*T_dec,2048,512,90,decoder.layers.2.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,92,decoder_prefill,2,decoder.layers.2.fc2,linear,,B*T_dec,512,2048,91,decoder.layers.2.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,93,decoder_prefill,3,decoder.layers.3.self_attn.q_proj,linear,,B*T_dec,512,512,92,decoder.layers.3.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,94,decoder_prefill,3,decoder.layers.3.self_attn.k_proj,linear,,B*T_dec,512,512,92,decoder.layers.3.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,95,decoder_prefill,3,decoder.layers.3.self_attn.v_proj,linear,,B*T_dec,512,512,92,decoder.layers.3.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,96,decoder_prefill,3,decoder.layers.3.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,93;94,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,97,decoder_prefill,3,decoder.layers.3.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,96;95,,,config+architecture,
models--Systran--faster-whisper-base,98,decoder_prefill,3,decoder.layers.3.self_attn.out_proj,linear,,B*T_dec,512,512,97,decoder.layers.3.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,99,decoder_prefill,3,decoder.layers.3.encoder_attn.q_proj,linear,,B*T_dec,512,512,98,decoder.layers.3.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,100,decoder_prefill,3,decoder.layers.3.encoder_attn.k_proj,linear,,B*T_enc,512,512,50,decoder.layers.3.encoder_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,101,decoder_prefill,3,decoder.layers.3.encoder_attn.v_proj,linear,,B*T_enc,512,512,50,decoder.layers.3.encoder_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,102,decoder_prefill,3,decoder.layers.3.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,99;100,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,103,decoder_prefill,3,decoder.layers.3.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,102;101,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,104,decoder_prefill,3,decoder.layers.3.encoder_attn.out_proj,linear,,B*T_dec,512,512,103,decoder.layers.3.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,105,decoder_prefill,3,decoder.layers.3.fc1,linear,,B*T_dec,2048,512,104,decoder.layers.3.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,106,decoder_prefill,3,decoder.layers.3.fc2,linear,,B*T_dec,512,2048,105,decoder.layers.3.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,107,decoder_prefill,4,decoder.layers.4.self_attn.q_proj,linear,,B*T_dec,512,512,106,decoder.layers.4.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,108,decoder_prefill,4,decoder.layers.4.self_attn.k_proj,linear,,B*T_dec,512,512,106,decoder.layers.4.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,109,decoder_prefill,4,decoder.layers.4.self_attn.v_proj,linear,,B*T_dec,512,512,106,decoder.layers.4.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,110,decoder_prefill,4,decoder.layers.4.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,107;108,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,111,decoder_prefill,4,decoder.layers.4.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,110;109,,,config+architecture,
models--Systran--faster-whisper-base,112,decoder_prefill,4,decoder.layers.4.self_attn.out_proj,linear,,B*T_dec,512,512,111,decoder.layers.4.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,113,decoder_prefill,4,decoder.layers.4.encoder_attn.q_proj,linear,,B*T_dec,512,512,112,decoder.layers.4.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,114,decoder_prefill,4,decoder.layers.4.encoder_attn.k_proj,linear,,B*T_enc,512,512,50,decoder.layers.4.encoder_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,115,decoder_prefill,4,decoder.layers.4.encoder_attn.v_proj,linear,,B*T_enc,512,512,50,decoder.layers.4.encoder_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,116,decoder_prefill,4,decoder.layers.4.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,113;114,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,117,decoder_prefill,4,decoder.layers.4.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,116;115,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,118,decoder_prefill,4,decoder.layers.4.encoder_attn.out_proj,linear,,B*T_dec,512,512,117,decoder.layers.4.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,119,decoder_prefill,4,decoder.layers.4.fc1,linear,,B*T_dec,2048,512,118,decoder.layers.4.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,120,decoder_prefill,4,decoder.layers.4.fc2,linear,,B*T_dec,512,2048,119,decoder.layers.4.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,121,decoder_prefill,5,decoder.layers.5.self_attn.q_proj,linear,,B*T_dec,512,512,120,decoder.layers.5.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,122,decoder_prefill,5,decoder.layers.5.self_attn.k_proj,linear,,B*T_dec,512,512,120,decoder.layers.5.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,123,decoder_prefill,5,decoder.layers.5.self_attn.v_proj,linear,,B*T_dec,512,512,120,decoder.layers.5.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,124,decoder_prefill,5,decoder.layers.5.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,121;122,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,125,decoder_prefill,5,decoder.layers.5.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,124;123,,,config+architecture,
models--Systran--faster-whisper-base,126,decoder_prefill,5,decoder.layers.5.self_attn.out_proj,linear,,B*T_dec,512,512,125,decoder.layers.5.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,127,decoder_prefill,5,decoder.layers.5.encoder_attn.q_proj,linear,,B*T_dec,512,512,126,decoder.layers.5.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,128,decoder_prefill,5,decoder.layers.5.encoder_attn.k_proj,linear,,B*T_enc,512,512,50,decoder.layers.5.encoder_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,129,decoder_prefill,5,decoder.layers.5.encoder_attn.v_proj,linear,,B*T_enc,512,512,50,decoder.layers.5.encoder_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,130,decoder_prefill,5,decoder.layers.5.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,127;128,,,config+architecture,cross-attention K is cached during decode step
